Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
1,44,0,0,0,Riga,Riga Magicians,Eastern,Toms Kantans,2524,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678
1,44,0,0,1,Riga,Riga Magicians,Eastern,Noel Studer,2478,San Jose,San Jose Hackers,Pacific,Daniel Naroditsky,2626
1,44,0,0,2,Riga,Riga Magicians,Eastern,Arturs Bernotas,2431,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601
1,44,0,0,3,Riga,Riga Magicians,Eastern,Vojtech Zwardon,2405,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918
1,44,1,0,0,Oslo,Oslo Trolls,Eastern,Roeland Pruijssers,2507,Las Vegas,Las Vegas Desert Rats,Pacific,Sergei Azarov,2567
1,44,1,0,1,Oslo,Oslo Trolls,Eastern,Ori Kobo,2482,Las Vegas,Las Vegas Desert Rats,Pacific,Robert Aghasaryan,2531
1,44,1,0,2,Oslo,Oslo Trolls,Eastern,Lars Oskar Hauge,2433,Las Vegas,Las Vegas Desert Rats,Pacific,Levon Altounian,2443
1,44,1,0,3,Oslo,Oslo Trolls,Eastern,Kjetil Stokke,2335,Las Vegas,Las Vegas Desert Rats,Pacific,Joel Banawa,2401
1,44,2,0,0,Estonia,Estonia Horses,Eastern,Gadir Guseinov,2646,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606
1,44,2,0,1,Estonia,Estonia Horses,Eastern,Avital Boruchovsky,2565,Australia,Australia Kangaroos,Pacific,Zong-Yuan Zhao,2543
1,44,2,0,2,Estonia,Estonia Horses,Eastern,Jaan Ehlvest,2536,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508
1,44,2,0,3,Estonia,Estonia Horses,Eastern,Sander Kukk,2178,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319
1,44,3,0,0,Norway,Norway Gnomes,Eastern,Magnus Carlsen,2827,Minnesota,Minnesota Blizzard,Atlantic,Mauricio Flores,2529
1,44,3,0,1,Norway,Norway Gnomes,Eastern,Nils Grandelius,2653,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488
1,44,3,0,2,Norway,Norway Gnomes,Eastern,Ruifeng Li,2585,Minnesota,Minnesota Blizzard,Atlantic,Akshat Chandra,2481
1,44,3,0,3,Norway,Norway Gnomes,Eastern,Francisco Silva Gonzalez,2062,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471
1,44,4,0,0,Montreal,Montreal Chessbrahs,Atlantic,Eric Hansen,2629,Amsterdam,Amsterdam Mosquitoes,Central,Suat Atalik,2537
1,44,4,0,1,Montreal,Montreal Chessbrahs,Atlantic,Aman Hambleton,2479,Amsterdam,Amsterdam Mosquitoes,Central,David Klein,2491
1,44,4,0,2,Montreal,Montreal Chessbrahs,Atlantic,Raja Panjwani,2407,Amsterdam,Amsterdam Mosquitoes,Central,Quinten Ducarmon,2473
1,44,4,0,3,Montreal,Montreal Chessbrahs,Atlantic,Shiyam Thavandiran,2385,Amsterdam,Amsterdam Mosquitoes,Central,Miguoel Admiraal,2448
1,44,5,0,0,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665,London Towers,London Towers,Central,Ameet Ghasi,2475
1,44,5,0,1,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619,London Towers,London Towers,Central,Roman Yanchenko,2436
1,44,5,0,2,Miami,Miami Champions,Atlantic,Julio Becerra Rivero,2536,London Towers,London Towers,Central,David Gorodetzky,2418
1,44,5,0,3,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164,London Towers,London Towers,Central,Aaron Summerscale,2395
1,44,6,0,0,Webster,Webster Windmills,Atlantic,Aleksandr Shimanov,2646,London Lions,London Lions,Central,Yang-Fan Zhou,2461
1,44,6,0,1,Webster,Webster Windmills,Atlantic,Ray Robson,2644,London Lions,London Lions,Central,Justin Tan,2439
1,44,6,0,2,Webster,Webster Windmills,Atlantic,Denes Boros,2475,London Lions,London Lions,Central,Ravi Haria,2398
1,44,6,0,3,Webster,Webster Windmills,Atlantic,Katerina Nemcova,2315,London Lions,London Lions,Central,Lawrence Cooper,2347
1,44,7,0,0,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648,Stockholm,Stockholm Snowballs,Central,Baadur Jobava,2702
1,44,7,0,1,San Diego,San Diego Surfers,Pacific,Samuel Sevian,2610,Stockholm,Stockholm Snowballs,Central,Levan Pantsulaia,2593
1,44,7,0,2,San Diego,San Diego Surfers,Pacific,Michael Brown,2499,Stockholm,Stockholm Snowballs,Central,Erik Blomqvist,2521
1,44,7,0,3,San Diego,San Diego Surfers,Pacific,Tatev Abrahamyan,2333,Stockholm,Stockholm Snowballs,Central,Inna Agrest,2271
2,47,0,3,0,Las Vegas,Las Vegas Desert Rats,Pacific,Sergei Azarov,2567,Riga,Riga Magicians,Eastern,Toms Kantans,2524
2,47,0,3,1,Las Vegas,Las Vegas Desert Rats,Pacific,Robert Aghasaryan,2531,Riga,Riga Magicians,Eastern,Noel Studer,2478
2,47,0,3,2,Las Vegas,Las Vegas Desert Rats,Pacific,Levon Altounian,2443,Riga,Riga Magicians,Eastern,Arturs Bernotas,2431
2,47,0,3,3,Las Vegas,Las Vegas Desert Rats,Pacific,Joel Banawa,2401,Riga,Riga Magicians,Eastern,Vojtech Zwardon,2405
2,47,1,3,0,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606,Oslo,Oslo Trolls,Eastern,Roeland Pruijssers,2507
2,47,1,3,1,Australia,Australia Kangaroos,Pacific,Zong-Yuan Zhao,2543,Oslo,Oslo Trolls,Eastern,Ori Kobo,2482
2,47,1,3,2,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508,Oslo,Oslo Trolls,Eastern,Lars Oskar Hauge,2433
2,47,1,3,3,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319,Oslo,Oslo Trolls,Eastern,Kjetil Stokke,2335
2,47,2,3,0,Minnesota,Minnesota Blizzard,Atlantic,Mauricio Flores,2529,Estonia,Estonia Horses,Eastern,Gadir Guseinov,2646
2,47,2,3,1,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488,Estonia,Estonia Horses,Eastern,Avital Boruchovsky,2565
2,47,2,3,2,Minnesota,Minnesota Blizzard,Atlantic,Akshat Chandra,2481,Estonia,Estonia Horses,Eastern,Jaan Ehlvest,2536
2,47,2,3,3,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471,Estonia,Estonia Horses,Eastern,Sander Kukk,2178
2,47,3,3,0,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678,Norway,Norway Gnomes,Eastern,Magnus Carlsen,2827
2,47,3,3,1,San Jose,San Jose Hackers,Pacific,Daniel Naroditsky,2626,Norway,Norway Gnomes,Eastern,Nils Grandelius,2653
2,47,3,3,2,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601,Norway,Norway Gnomes,Eastern,Ruifeng Li,2585
2,47,3,3,3,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918,Norway,Norway Gnomes,Eastern,Francisco Silva Gonzalez,2062
2,47,4,3,0,Amsterdam,Amsterdam Mosquitoes,Central,Suat Atalik,2537,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665
2,47,4,3,1,Amsterdam,Amsterdam Mosquitoes,Central,David Klein,2491,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619
2,47,4,3,2,Amsterdam,Amsterdam Mosquitoes,Central,Quinten Ducarmon,2473,Miami,Miami Champions,Atlantic,Julio Becerra Rivero,2536
2,47,4,3,3,Amsterdam,Amsterdam Mosquitoes,Central,Miguoel Admiraal,2448,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164
