Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
1,6,0,0,0,Miami,Miami Champions,Atlantic,Eduardo Iturrizaga,2665,San Jose,San Jose Hackers,Pacific,Shakhriyar Mamedyarov,2797
1,6,0,0,1,Miami,Miami Champions,Atlantic,Yuniesky Quesada,2619,San Jose,San Jose Hackers,Pacific,Rauf Mamedov,2678
1,6,0,0,2,Miami,Miami Champions,Atlantic,Michael Rohde,2387,San Jose,San Jose Hackers,Pacific,Zviad Izoria,2601
1,6,0,0,3,Miami,Miami Champions,Atlantic,Nicholas Rosenthal,2164,San Jose,San Jose Hackers,Pacific,Vinesh Ravuri,1918
1,6,1,0,0,St. Louis,St. Louis Arch Bishops,Atlantic,Fabiano Caruana,2799,Chengdu,Chengdu Pandas,Pacific,Yu Yangyi,2750
1,6,1,0,1,St. Louis,St. Louis Arch Bishops,Atlantic,Vladimir Fedoseev,2731,Chengdu,Chengdu Pandas,Pacific,Ni Hua,2674
1,6,1,0,2,St. Louis,St. Louis Arch Bishops,Atlantic,Alejandro Ramirez,2563,Chengdu,Chengdu Pandas,Pacific,Xu Xiangyu,2549
1,6,1,0,3,St. Louis,St. Louis Arch Bishops,Atlantic,Annie Wang,2090,Chengdu,Chengdu Pandas,Pacific,Chu Ruotong,2173
1,6,2,0,0,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Awonder Liang,2545,Dallas,Dallas Destiny,Pacific,Jeffery Xiong,2633
1,6,2,0,1,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Tuan Minh Le,2485,Dallas,Dallas Destiny,Pacific,Conrad Holt,2565
1,6,2,0,2,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Atulya Shetty,2403,Dallas,Dallas Destiny,Pacific,Luke Harmon-Vellotti,2468
1,6,2,0,3,Pittsburgh,Pittsburgh Pawngrabbers,Atlantic,Safal Bora,2363,Dallas,Dallas Destiny,Pacific,Steven Breckenridge,2292
1,6,3,0,0,Buenos Aires,Buenos Aires Krakens,Atlantic,Alan Pichot,2565,Seattle,Seattle Sluggers,Pacific,Hikaru Nakamura,2781
1,6,3,0,1,Buenos Aires,Buenos Aires Krakens,Atlantic,Mario Villanueva,2445,Seattle,Seattle Sluggers,Pacific,Tigran Petrosian,2615
1,6,3,0,2,Buenos Aires,Buenos Aires Krakens,Atlantic,German Della Morte,2362,Seattle,Seattle Sluggers,Pacific,Georgi Orlov,2481
1,6,3,0,3,Buenos Aires,Buenos Aires Krakens,Atlantic,Jacques Blit,2344,Seattle,Seattle Sluggers,Pacific,Kyle Haining,2169
1,6,4,0,0,Australia,Australia Kangaroos,Pacific,Evgenij Miroshnichenko,2606,Montclair,Montclair Sopranos,Atlantic,Aleksandr Lenderman,2565
1,6,4,0,1,Australia,Australia Kangaroos,Pacific,Alexey Sarana,2541,Montclair,Montclair Sopranos,Atlantic,Anatoly Bykhovsky,2496
1,6,4,0,2,Australia,Australia Kangaroos,Pacific,Anton Smirnov,2508,Montclair,Montclair Sopranos,Atlantic,Mackenzie Molner,2465
1,6,4,0,3,Australia,Australia Kangaroos,Pacific,Brandon Clarke,2319,Montclair,Montclair Sopranos,Atlantic,Nicolas Checa,2459
1,6,5,0,0,San Diego,San Diego Surfers,Pacific,Alexey Dreev,2648,Webster,Webster Windmills,Atlantic,Aleksandr Shimanov,2646
1,6,5,0,1,San Diego,San Diego Surfers,Pacific,Michael Brown,2499,Webster,Webster Windmills,Atlantic,Denes Boros,2475
1,6,5,0,2,San Diego,San Diego Surfers,Pacific,John Daniel Bryant,2428,Webster,Webster Windmills,Atlantic,Ashwin Jayaram,2474
1,6,5,0,3,San Diego,San Diego Surfers,Pacific,Joshua Sheng,2373,Webster,Webster Windmills,Atlantic,Aaron Grabinsky,2358
1,6,6,0,0,Las Vegas,Las Vegas Desert Rats,Pacific,Leinier Dominguez,2739,Minnesota,Minnesota Blizzard,Atlantic,Andrew Tang,2488
1,6,6,0,1,Las Vegas,Las Vegas Desert Rats,Pacific,Joshua Friedel,2547,Minnesota,Minnesota Blizzard,Atlantic,Daniel Gurevich,2471
1,6,6,0,2,Las Vegas,Las Vegas Desert Rats,Pacific,Melikset Khachiyan,2526,Minnesota,Minnesota Blizzard,Atlantic,John Bartholomew,2449
1,6,6,0,3,Las Vegas,Las Vegas Desert Rats,Pacific,Eugene Yanayt,2139,Minnesota,Minnesota Blizzard,Atlantic,Nikola Mitkov,2444
1,6,7,0,0,Rio Grande,Rio Grande Ospreys,Pacific,Hovhannes Gabuzyan,2573,Montreal,Montreal Chessbrahs,Atlantic,Eric Hansen,2629
1,6,7,0,1,Rio Grande,Rio Grande Ospreys,Pacific,Vladimir Belous,2566,Montreal,Montreal Chessbrahs,Atlantic,Aman Hambleton,2479
