Round,Round offset,Column offset,Row offset,Board offset,Team 1,Team 1 full name,Team 1 division,Player 1,Rating 1,Team 2,Team 2 full name,Team 2 division,Player 2,Rating 2
1,32,0,0,0,Delhi,Delhi Dynamite,Eastern,Abhijeet Gupta,2619,Amsterdam,Amsterdam Mosquitoes,Central,Wouter Spoelman,2586
1,32,0,0,1,Delhi,Delhi Dynamite,Eastern,Vaibhav Suri,2560,Amsterdam,Amsterdam Mosquitoes,Central,Suat Atalik,2537
1,32,0,0,2,Delhi,Delhi Dynamite,Eastern,M R Lalith Babu,2525,Amsterdam,Amsterdam Mosquitoes,Central,David Klein,2491
1,32,0,0,3,Delhi,Delhi Dynamite,Eastern,Prithu Gupta,2287,Amsterdam,Amsterdam Mosquitoes,Central,Lennart Dek,2300
1,32,1,0,0,Estonia,Estonia Horses,Eastern,Aleksandr Volodin,2482,London Lions,London Lions,Central,Tran Tuan Minh,2547
1,32,1,0,1,Estonia,Estonia Horses,Eastern,Siim Kanep,2180,London Lions,London Lions,Central,Yang-Fan Zhou,2461
1,32,1,0,2,Estonia,Estonia Horses,Eastern,Sander Kukk,2178,London Lions,London Lions,Central,Justin Tan,2439
1,32,1,0,3,Estonia,Estonia Horses,Eastern,Nikolai Kunitsõn,2178,London Lions,London Lions,Central,Edward Porper,2377
1,32,2,0,0,Norway,Norway Gnomes,Eastern,Magnus Carlsen,2827,London Towers,London Towers,Central,Roman Yanchenko,2436
1,32,2,0,1,Norway,Norway Gnomes,Eastern,Aryan Tari,2588,London Towers,London Towers,Central,Peter Roberson,2403
1,32,2,0,2,Norway,Norway Gnomes,Eastern,Torbjørn Ringdal Hansen,2397,London Towers,London Towers,Central,Thomas Rendle,2366
1,32,2,0,3,Norway,Norway Gnomes,Eastern,Elham Abdrlauf,1899,London Towers,London Towers,Central,Blair Connell,2255
1,32,3,0,0,Riga,Riga Magicians,Eastern,Vojtech Plat,2539,Stockholm,Stockholm Snowballs,Central,Georg Meier,2651
1,32,3,0,1,Riga,Riga Magicians,Eastern,Vojtech Zwardon,2405,Stockholm,Stockholm Snowballs,Central,Levan Pantsulaia,2593
1,32,3,0,2,Riga,Riga Magicians,Eastern,Sergejs Klimakovs,2302,Stockholm,Stockholm Snowballs,Central,Kirill Alekseenko,2563
1,32,3,0,3,Riga,Riga Magicians,Eastern,Anna Kantane,2299,Stockholm,Stockholm Snowballs,Central,Inna Agrest,2271
1,32,4,0,0,Ljubljana,Ljubljana Turtles,Central,Luka Lenic,2646,Oslo,Oslo Trolls,Eastern,Kristian Stuvik Holm,2433
1,32,4,0,1,Ljubljana,Ljubljana Turtles,Central,Jure Skoberne,2544,Oslo,Oslo Trolls,Eastern,Benjamin Haldorsen,2397
1,32,4,0,2,Ljubljana,Ljubljana Turtles,Central,Matej Sebenik,2542,Oslo,Oslo Trolls,Eastern,Johannes Haug,2379
1,32,4,0,3,Ljubljana,Ljubljana Turtles,Central,Luka Skuhala,2114,Oslo,Oslo Trolls,Eastern,Kjetil Stokke,2335
1,32,5,0,0,Marseille,Marseille Migraines,Central,Maxime Vachier-Lagrave,2804,Mumbai,Mumbai Movers,Eastern,Diptayan Ghosh,2556
1,32,5,0,1,Marseille,Marseille Migraines,Central,Jules Moussard,2571,Mumbai,Mumbai Movers,Eastern,Swapnil Dhopade,2532
1,32,5,0,2,Marseille,Marseille Migraines,Central,Jean-Marc Degraeve,2561,Mumbai,Mumbai Movers,Eastern,Mohammad Nubairshah Shaikh,2410
1,32,5,0,3,Marseille,Marseille Migraines,Central,Marc Andria Maurizzi,1947,Mumbai,Mumbai Movers,Eastern,Raunak Sadhwani,2339
1,32,6,0,0,Reykjavik,Reykjavik Puffins,Central,Helgi Olafsson,2512,Volga,Volga Stormbringers,Eastern,Dmitry Andreikin,2708
1,32,6,0,1,Reykjavik,Reykjavik Puffins,Central,Hannes Stefansson,2508,Volga,Volga Stormbringers,Eastern,Sergey Grigoriants,2558
1,32,6,0,2,Reykjavik,Reykjavik Puffins,Central,Jon Viktor Gunnarsson,2460,Volga,Volga Stormbringers,Eastern,Azat Sharafiev,2433
1,32,6,0,3,Reykjavik,Reykjavik Puffins,Central,Bjorn Thorfinnsson,2398,Volga,Volga Stormbringers,Eastern,Vladislav Chizhikov,2305
1,32,7,0,0,Cannes,Cannes Blockbusters,Central,Robert Fontaine,2558,Armenia,Armenia Eagles,Eastern,Hrant Melkumyan,2642
1,32,7,0,1,Cannes,Cannes Blockbusters,Central,Barseghyan Harutyun,2474,Armenia,Armenia Eagles,Eastern,Zaven Andriasyan,2593
1,32,7,0,2,Cannes,Cannes Blockbusters,Central,Pierre Villegas,2309,Armenia,Armenia Eagles,Eastern,Manuel Petrosyan,2559
1,32,7,0,3,Cannes,Cannes Blockbusters,Central,Kevin Bordi,2282,Armenia,Armenia Eagles,Eastern,Artak Manukyan,2196
2,35,0,3,0,London Lions,London Lions,Central,Tran Tuan Minh,2547,Delhi,Delhi Dynamite,Eastern,Abhijeet Gupta,2619
2,35,0,3,1,London Lions,London Lions,Central,Yang-Fan Zhou,2461,Delhi,Delhi Dynamite,Eastern,Vaibhav Suri,2560
2,35,0,3,2,London Lions,London Lions,Central,Justin Tan,2439,Delhi,Delhi Dynamite,Eastern,M R Lalith Babu,2525
2,35,0,3,3,London Lions,London Lions,Central,Edward Porper,2377,Delhi,Delhi Dynamite,Eastern,Prithu Gupta,2287
2,35,1,3,0,London Towers,London Towers,Central,Roman Yanchenko,2436,Estonia,Estonia Horses,Eastern,Aleksandr Volodin,2482
2,35,1,3,1,London Towers,London Towers,Central,Peter Roberson,2403,Estonia,Estonia Horses,Eastern,Siim Kanep,2180
2,35,1,3,2,London Towers,London Towers,Central,Thomas Rendle,2366,Estonia,Estonia Horses,Eastern,Sander Kukk,2178
2,35,1,3,3,London Towers,London Towers,Central,Blair Connell,2255,Estonia,Estonia Horses,Eastern,Nikolai Kunitsõn,2178
2,35,2,3,0,Stockholm,Stockholm Snowballs,Central,Georg Meier,2651,Norway,Norway Gnomes,Eastern,Magnus Carlsen,2827
2,35,2,3,1,Stockholm,Stockholm Snowballs,Central,Levan Pantsulaia,2593,Norway,Norway Gnomes,Eastern,Aryan Tari,2588
2,35,2,3,2,Stockholm,Stockholm Snowballs,Central,Kirill Alekseenko,2563,Norway,Norway Gnomes,Eastern,Torbjørn Ringdal Hansen,2397
2,35,2,3,3,Stockholm,Stockholm Snowballs,Central,Inna Agrest,2271,Norway,Norway Gnomes,Eastern,Elham Abdrlauf,1899
2,35,3,3,0,Amsterdam,Amsterdam Mosquitoes,Central,Wouter Spoelman,2586,Riga,Riga Magicians,Eastern,Vojtech Plat,2539
2,35,3,3,1,Amsterdam,Amsterdam Mosquitoes,Central,Suat Atalik,2537,Riga,Riga Magicians,Eastern,Vojtech Zwardon,2405
2,35,3,3,2,Amsterdam,Amsterdam Mosquitoes,Central,David Klein,2491,Riga,Riga Magicians,Eastern,Sergejs Klimakovs,2302
2,35,3,3,3,Amsterdam,Amsterdam Mosquitoes,Central,Lennart Dek,2300,Riga,Riga Magicians,Eastern,Anna Kantane,2299
2,35,4,3,0,Oslo,Oslo Trolls,Eastern,Kristian Stuvik Holm,2433,Marseille,Marseille Migraines,Central,Maxime Vachier-Lagrave,2804
